Recording timestamp	Eyetracker timestamp	Eyepos3d_Left.x	Eyepos3d_Left.y	Eyepos3d_Left.z	Eyepos3dRel_Left.x	Eyepos3dRel_Left.y	Eyepos3dRel_Left.z	Gaze2d_Left.x	Gaze2d_Left.y	Gaze3d_Left.x	Gaze3d_Left.y	Gaze3d_Left.z	PupilDiam_Left	Validity_Left	Eyepos3d_Right.x	Eyepos3d_Right.y	Eyepos3d_Right.z	Eyepos3dRel_Right.x	Eyepos3dRel_Right.y	Eyepos3dRel_Right.z	Gaze2d_Right.x	Gaze2d_Right.y	Gaze3d_Right.x	Gaze3d_Right.y	Gaze3d_Right.z	PupilDiam_Right	Validity_Right	Event value	Event message
6609341138	1489513570851267	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609344420	1489513570854549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609347749	1489513570857878	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609351107	1489513570861236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609354462	1489513570864591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609357742	1489513570867872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609361065	1489513570871195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609364437	1489513570874567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609367803	1489513570877933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609371099	1489513570881229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609374432	1489513570884562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609377777	1489513570887907	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609381110	1489513570891240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609384413	1489513570894543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609387746	1489513570897876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6609391083	1489513570901213	4.243000e+001	1.058283e+001	6.898461e+002	4.052307e-001	4.452497e-001	7.994871e-001	6.392960e+002	3.225488e+002	-1.537772e+001	1.920899e+002	6.431679e+001	3.673950e+000	2	4.245187e+001	1.062038e+001	6.923606e+002	4.055573e-001	4.452503e-001	8.078689e-001	5.197872e+002	3.499434e+002	-6.052745e+001	1.825054e+002	6.043090e+001	3.687180e+000	2	0	0
6609394445	1489513570904576	4.248048e+001	1.058899e+001	6.897167e+002	4.050530e-001	4.452058e-001	7.990556e-001	6.527515e+002	3.103914e+002	-1.029432e+001	1.963434e+002	6.604130e+001	3.717117e+000	2	4.249541e+001	1.062656e+001	6.922308e+002	4.054017e-001	4.452064e-001	8.074359e-001	5.360535e+002	3.377356e+002	-5.438215e+001	1.867765e+002	6.216256e+001	3.730347e+000	2	0	0
6609397717	1489513570907848	4.252664e+001	1.059044e+001	6.892136e+002	4.048299e-001	4.451570e-001	7.973787e-001	6.490247e+002	3.202592e+002	-1.170230e+001	1.928910e+002	6.464157e+001	3.616043e+000	2	4.254107e+001	1.062802e+001	6.917261e+002	4.051806e-001	4.451576e-001	8.057536e-001	5.324041e+002	3.478694e+002	-5.576086e+001	1.832310e+002	6.072508e+001	3.628830e+000	2	0	0
6609401070	1489513570911201	4.257110e+001	1.057660e+001	6.881473e+002	4.045226e-001	4.451451e-001	7.938243e-001	6.413778e+002	2.926050e+002	-1.459126e+001	2.025663e+002	6.856428e+001	3.732620e+000	2	4.258211e+001	1.061413e+001	6.906562e+002	4.048847e-001	4.451457e-001	8.021875e-001	5.258818e+002	3.191788e+002	-5.822495e+001	1.932690e+002	6.479482e+001	3.745865e+000	2	0	0
6609404412	1489513570914543	4.264898e+001	1.060807e+001	6.898091e+002	4.045428e-001	4.451095e-001	7.993636e-001	6.431564e+002	2.613405e+002	-1.391929e+001	2.135048e+002	7.299912e+001	3.732376e+000	2	4.265765e+001	1.064571e+001	6.923236e+002	4.049124e-001	4.451101e-001	8.077452e-001	5.284057e+002	2.871566e+002	-5.727142e+001	2.044726e+002	6.933714e+001	3.745728e+000	2	0	0
